Time  1 - default sample rate;Load;Displacement;AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate                      
0,13333334;-4,620556355;-0,001672042;-0,237881795;0,216852814;-0,53395915;-8,174406052;-3,659017563;0,137126356;948333418,8
0,136666673;-4,743183613;-0,001946429;-0,302205294;-0,14367193;-0,237824053;-7,441070557;-5,073369026;0,137126356;948333418,8
0,140000007;-4,760132313;-0,001985079;-0,009207968;-0,283909589;-0,344608784;-7,635440826;-5,164235115;0,137126356;948333418,8
0,14333334;-4,714792728;-0,00185327;0,05333706;-0,057404578;-0,190723434;-7,593369484;-4,917502403;0,137126356;948333418,8
0,146666674;-4,629691601;-0,001488634;-0,016269214;-0,259065658;-0,19464086;-5,321299553;-4,801135063;0,137126356;948333418,8
0,150000007;-4,695750237;-0,001425256;0,113808118;-0,458186179;-0,443295091;-7,276765347;-4,675799847;0,137126356;948333418,8
0,153333341;-4,754870892;-0,001482693;-0,085592337;-0,364726573;-0,360683054;-12,48270702;-4,385061741;0,137126356;948333418,8
0,156666674;-4,573797703;-0,00134756;-0,083161473;-0,08401259;-0,433047146;-6,951313496;-3,795629025;0,137126356;948333418,8
0,160000008;-4,634964466;-0,001620403;-0,005195731;-0,245848209;-0,560274243;-7,393283844;-4,456082344;0,137126356;948333418,8
0,163333341;-4,676787376;-0,001898603;0,126737431;-0,17300947;-0,057793502;-8,772584915;-3,930994987;0,137126356;948333418,8
0,166666675;-4,699138165;-0,001573462;0,109877698;-0,164909005;-0,21203655;-5,476281643;-3,044371128;0,137126356;948333418,8
0,170000008;-4,685608864;-0,001570913;0,01603437;0,173714042;-0,383908778;-1,915685058;-2,650499582;0,137126356;948333418,8
0,173333342;-4,639230728;-0,001765403;0,080328614;0,053433537;-0,452120543;-3,752870321;-3,433858156;0,137126356;948333418,8
0,176666675;-4,651545525;-0,001976367;0,127611592;0,16041553;-0,375231862;-2,853733301;-3,680636883;0,137126356;948333418,8
0,180000009;-4,591545582;-0,002237248;0,140244558;-0,087823577;-0,546057582;-5,295196056;-3,270898581;0,137126356;948333418,8
0,183333342;-4,574314594;-0,002101594;0,297118872;-0,155046538;-0,490277171;-9,733767509;-3,271468163;0,137126356;948333418,8
0,186666676;-4,618528843;-0,001942606;0,125785917;-0,235844538;-0,778032601;-9,194272995;-3,669366837;0,137126356;948333418,8
