Time  1 - default sample rate                                   ;Load [N];Displacement [mm];AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate
0.136666673;-6.194560051;-0.005505734;-0.152284339;0.491210073;-0.831180513;12.22346878;-1.205972552;0.098360285;947504010.2
0.140000007;-6.23233223;-0.005136877;-0.151267335;0.189446792;-1.279471874;21.26025772;-1.195516109;0.098360285;947504010.2
0.14333334;-6.345981598;-0.004946589;-0.23834835;0.273264527;-1.291609049;-12.93551159;-1.018677115;0.098360285;947504010.2
0.146666674;-6.361204624;-0.004629083;-0.226797298;0.170229062;-1.155728579;17.01454735;-2.114020348;0.098360285;947504010.2
0.150000007;-6.233633518;-0.004500285;-0.097798251;0.03606445;-1.155189276;14.40415192;-2.601081133;0.098360285;947504010.2
0.153333341;-6.184675217;-0.004829965;-0.186495274;0.154432178;-0.8191607;-14.57431221;-2.118789673;0.098360285;947504010.2
0.156666674;-6.224720955;-0.004777557;-0.112871774;0.121493675;-0.919499278;26.03120995;-1.272684574;0.098360285;947504010.2
0.160000008;-6.185671329;-0.004566001;-0.000650363;0.113940522;-1.213962436;-1.066033244;-0.745762229;0.098360285;947504010.2
0.163333341;-6.21572113;-0.004961617;0.021636155;0.072565839;-1.222323298;-1.90746212;-1.630026579;0.098360285;947504010.2
0.166666675;-6.307728767;-0.004636462;0.053241581;0.086294562;-0.811381817;32.33197403;-2.736328602;0.098360285;947504010.2
0.170000008;-6.196502686;-0.004173538;0.087397039;0.292672634;-0.857294977;-5.920399666;-2.289672852;0.098360285;947504010.2
0.173333342;-6.088836193;-0.004910276;-0.081548929;0.462535977;-1.234177828;9.306921005;-0.980759501;0.098360285;947504010.2
0.176666675;-5.990847111;-0.004985763;0.033238117;0.244869173;-1.053966403;20.78871346;-0.421849459;0.098360285;947504010.3
0.180000009;-6.280639172;-0.005124767;-0.015618098;0.622906208;-1.187657952;-12.34880447;0.121413581;0.098360285;947504010.3
0.183333342;-6.160399914;-0.005193923;0.025303314;0.340133429;-1.000579;17.0728054;0.380317509;0.098360285;947504010.3
0.186666676;-6.146335602;-0.004525272;-0.020536659;-0.105643518;-0.840111136;20.65599632;-0.777361393;0.098360285;947504010.3
0.190000009;-6.247614861;-0.004937968;-0.052288335;0.019976147;-0.93753469;-8.855156898;-1.456956506;0.098360285;947504010.3
0.193333343;-6.293953896;-0.004993615;0.009627966;0.354389489;-1.074191451;29.00191498;-2.333851814;0.098360285;947504010.3
0.196666676;-6.224993229;-0.004405162;-0.002356268;0.567200661;-1.027781606;10.62266254;-1.986133575;0.098360285;947504010.3
0.200000009;-6.316560745;-0.004740168;-0.006309562;0.447456896;-1.115728974;-5.271588802;-1.343040347;0.098360285;947504010.3
0.203333343;-6.21366024;-0.004810305;0.012979451;-0.120657727;-0.800560176;33.88970184;-1.624456286;0.098360285;947504010.3
0.206666676;-6.106545925;-0.005195678;0.055661745;-0.121371984;-0.696222186;5.740951061;-1.13175571;0.098360285;947504010.3
0.21000001;-6.206476688;-0.00493495;0.078089692;-0.007105103;-1.045810461;-1.460999846;-0.542247117;0.098360285;947504010.3
0.213333343;-6.271778107;-0.005022825;-0.047010083;0.147679895;-0.794177294;26.20802879;0.403279364;0.098360285;947504010.3
0.216666677;-6.158156872;-0.005235267;0.102814831;0.376994044;-1.01437819;-8.582828522;-0.23437804;0.098360285;947504010.3
0.22000001;-6.2910285;-0.004844503;0.002043837;0.150064379;-1.073837161;9.523499489;-0.923963606;0.098360285;947504010.3
0.223333344;-6.301772594;-0.005137329;-0.040085655;-0.036883391;-0.960056186;22.04909897;-1.002778411;0.098360285;947504010.3
0.226666677;-6.27241993;-0.004643581;-0.101171814;0.268840343;-1.22982049;-13.63798904;-0.648605824;0.098360285;947504010.3
0.230000011;-6.157956123;-0.004977653;0.021831248;0.456733406;-1.154952645;8.882415771;-0.749952257;0.098360285;947504010.3
0.233333344;-6.279762268;-0.004869123;0.001208254;0.470837027;-0.978407323;14.18722343;-0.757388294;0.098360285;947504010.3
0.236666678;-6.365460873;-0.005162976;0.112187818;0.386411309;-1.10126853;-16.02752495;-0.324783564;0.098360285;947504010.3
0.240000011;-6.206950188;-0.004872164;0.053899296;0.439428419;-1.061941028;19.59253883;-0.474664003;0.098360285;947504010.3
0.243333345;-6.114065647;-0.004692431;-0.062563136;0.186036631;-1.196419001;6.55951643;-0.635499954;0.098360285;947504010.3
0.246666678;-6.19135046;-0.004720869;-0.023011774;-0.064646438;-1.267113328;-12.00888157;0.158195183;0.098360285;947504010.3
0.250000012;-6.243662834;-0.004857903;-0.02312405;-0.111839004;-1.174056649;25.92290688;0.425037205;0.098360285;947504010.3
0.253333345;-6.470421314;-0.004477466;0.109479785;0.204093724;-1.119987845;-3.918206215;0.431363702;0.098360285;947504010.3
0.256666679;-6.234111786;-0.004611264;-0.098275363;0.409631431;-1.330157876;8.044902802;-1.106537342;0.098360285;947504010.3
0.260000012;-6.142200947;-0.004887829;-0.134463832;0.368199229;-0.907461047;13.23101902;-2.515850306;0.098360285;947504010.3
0.263333346;-6.304872513;-0.004584504;0.035342488;-0.084360093;-0.802520096;-21.11853981;-2.405749321;0.098360285;947504010.3
0.266666679;-6.372336388;-0.004430377;-0.016352331;0.072275631;-1.094439983;16.94874001;-2.214242935;0.098360285;947504010.3
0.270000013;-6.127047539;-0.004864469;-0.069543734;0.18087399;-0.897176445;2.49985218;-2.911400318;0.098360285;947504010.3
0.273333346;-6.121919632;-0.005226447;-0.075716116;0.598635972;-0.976822615;-8.63936615;-3.125827551;0.098360285;947504010.3
0.27666668;-6.155483723;-0.005017021;-0.125654981;0.519940376;-0.819385409;25.80075645;-2.565626621;0.098360285;947504010.4
0.280000013;-6.337525845;-0.004922394;0.006442782;0.476782382;-1.074142575;-12.02770615;-2.050789595;0.098360285;947504010.4
0.283333347;-6.278134823;-0.00489465;0.047496129;0.129189134;-0.95632422;4.875507832;-1.888901234;0.098360285;947504010.4
0.28666668;-6.283079147;-0.005243748;0.012018482;0.192235067;-0.617099285;15.58989334;-2.271852016;0.098360285;947504010.4
0.290000014;-6.398725986;-0.005203405;-0.046993233;0.209542766;-0.997027755;-7.052800179;-3.770682812;0.098360285;947504010.4
0.293333347;-6.254806519;-0.004555157;-0.097014546;0.387615144;-1.226898909;29.00448608;-2.540940523;0.098360285;947504010.4
0.296666681;-6.139525414;-0.004499759;0.037580442;0.18982172;-1.224026799;9.114118576;-0.787273824;0.098360285;947504010.4
0.300000014;-6.058987141;-0.004956332;0.048808422;0.384892255;-1.197130442;-4.065931797;-0.67159003;0.098360285;947504010.4
0.303333348;-6.092766285;-0.004966958;0.026709145;0.54050833;-1.411669135;29.12836647;-1.678239226;0.098360285;947504010.4
0.306666681;-6.328562737;-0.004496021;-0.070318691;0.19189325;-1.106542826;-7.920299053;-1.536866903;0.098360285;947504010.4
0.310000015;-6.280725002;-0.004503985;-0.103936039;0.307736009;-1.102367997;-3.858463287;-1.480766892;0.098360285;947504010.4
0.313333348;-6.189330578;-0.004823762;-0.098366126;0.163411826;-1.117226958;22.68216515;-1.582039475;0.098360285;947504010.4
0.316666682;-6.093415737;-0.0050048;-0.346105278;0.10292349;-1.156388402;-15.17961216;-2.467378616;0.098360285;947504010.4
0.320000015;-6.295936584;-0.005139086;0.028159533;0.476637453;-1.100297332;11.54192257;-2.418371201;0.098360285;947504010.4
0.323333349;-6.107564449;-0.004794741;0.094917864;0.253947198;-0.89464432;21.63166618;-1.594886422;0.098360285;947504010.4
0.326666682;-6.311353207;-0.004798589;0.114777952;-0.101345345;-0.878134072;-15.93003464;-2.400428295;0.098360285;947504010.4
