Load,Displacement,Acceleration
0.1392400860786438,-0.00977625697851181,-0.1582387387752533
0.2586356997489929,-0.009573724120855331,-0.04920496419072151
0.06293635070323944,-0.009789141826331615,-0.12676067650318146
-0.08663653582334518,-0.00949330534785986,-0.05915338173508644
0.08379293978214264,-0.01003862265497446,-0.11279094219207764
0.026953190565109253,-0.010069414041936398,-0.19228637218475342
-0.058657318353652954,-0.009848538786172867,-0.08791667222976685
-0.024638863280415535,-0.010035599581897259,-0.06318200379610062
-0.07783371955156326,-0.010228139348328114,-0.27619343996047974
0.020152362063527107,-0.00984261929988861,-0.09931159764528275
0.07426104694604874,-0.01027746219187975,-0.1282164603471756
0.04961366206407547,-0.010717716068029404,-0.13076728582382202
-0.12989354133605957,-0.0101044662296772,-0.11568206548690796
0.003371259430423379,-0.009775284677743912,-0.11499543488025665
-0.07126084715127945,-0.00956717412918806,0.07884803414344788
-0.01458998303860426,-0.009588710963726044,-0.0023253620602190495
0.07782652974128723,-0.009319933131337166,-0.0781375840306282
0.04252329468727112,-0.009443826973438263,0.0347110815346241
0.01293894648551941,-0.00966960471123457,0.08764635771512985
0.12910698354244232,-0.009825441054999828,0.08516494929790497
0.04507853090763092,-0.009662539698183537,0.06640593707561493
-0.04057864844799042,-0.009713903069496155,0.02586420066654682
-0.021924568340182304,-0.010164584033191204,0.01633361168205738
-0.06245558336377144,-0.010006475262343884,0.0630551353096962
0.005217032041400671,-0.009642458520829678,0.17246244847774506
0.030503595247864723,-0.009927457198500633,0.09418376535177231
-0.08068647980690002,-0.010070455260574818,0.00423526531085372
-0.034576453268527985,-0.009618157520890236,0.07904616743326187
-0.07955683022737503,-0.009704729542136192,0.012518828734755516
-0.09592054039239883,-0.01007719337940216,-0.10585451871156693
-0.127028226852417,-0.009890703484416008,-0.09043224900960922
-0.009903717786073685,-0.01056243572384119,-0.09008820354938507
0.0970652848482132,-0.010486750863492489,-0.0314292386174202
-0.03601473569869995,-0.009756138548254967,-0.07327037304639816
-0.04721560329198837,-0.010030332021415234,-0.017993362620472908
0.10247878730297089,-0.009657070972025394,-0.13800048828125
0.13349173963069916,-0.009715668857097626,-0.17779527604579926
0.09963908046483994,-0.009861906059086323,-0.23391355574131012
-0.0587334930896759,-0.010022479109466076,-0.24756668508052826
-0.05073011666536331,-0.010366597212851048,-0.30479708313941956
0.03749096766114235,-0.009939067997038364,-0.11462029814720154
0.07339891046285629,-0.009392768144607544,-0.1508072465658188
-0.0411844328045845,-0.00974578782916069,-0.2081776112318039
0.018208403140306473,-0.009948155842721462,-0.2586583197116852
0.11741232872009277,-0.009807988069951534,-0.25640347599983215
0.0991266518831253,-0.010159638710319996,-0.30030351877212524
-0.028509194031357765,-0.009836649522185326,-0.18407423794269562
0.18323089182376862,-0.009613752365112305,-0.12025091797113419
0.0602182112634182,-0.009858219884335995,-0.15306763350963593
0.09799114614725113,-0.009712126106023788,-0.2165069729089737
0.13647420704364777,-0.009928548708558083,-0.11881399154663086
0.09631693363189697,-0.009987754747271538,-0.1421555131673813
0.06230071932077408,-0.009874606505036354,0.008201911114156246
0.004567390773445368,-0.010190624743700027,0.034342776983976364
0.20971499383449554,-0.009829563088715076,0.13455791771411896
0.11197676509618759,-0.010050926357507706,0.16844241321086884
0.009152178652584553,-0.010085314512252808,0.2191695272922516
-0.048553623259067535,-0.010092975571751595,0.33626970648765564
-0.008840876631438732,-0.010093258693814278,0.3944348990917206
-0.01491532102227211,-0.009897153824567795,0.3350289463996887
0.10362514108419418,-0.009386518970131874,0.2930830717086792
0.04974563419818878,-0.01032241154462099,0.34627363085746765
0.09460532665252686,-0.009923776611685753,0.3088538646697998
0.05876674875617027,-0.009787301532924175,0.334086149930954
0.07006724923849106,-0.009878076612949371,0.36106932163238525
0.09369518607854843,-0.010000862181186676,0.3007657825946808
0.01615389622747898,-0.009784609079360962,0.2837987542152405
0.015887528657913208,-0.010002674534916878,0.2580808103084564
0.20394915342330933,-0.010412275791168213,0.3605453670024872
-0.07764872908592224,-0.009851495735347271,0.3294945955276489
0.04537253826856613,-0.010007326491177082,0.13304080069065094
-0.05220850184559822,-0.01039066631346941,0.12208259105682373
-0.12729723751544952,-0.01042240671813488,0.16551223397254944
-0.01847650669515133,-0.010327504016458988,0.08195921033620834
-0.027776936069130898,-0.010121219791471958,0.1807677000761032
-0.0730384886264801,-0.010092738084495068,-0.022344881668686867
0.15458551049232483,-0.009950797073543072,-0.09254641830921173
0.03359021618962288,-0.010237283073365688,0.07653940469026566
0.017154311761260033,-0.009895626455545425,-0.04839937388896942
-0.00234493357129395,-0.009685658849775791,-0.19009485840797424
-0.17522969841957092,-0.00966496393084526,-0.14701730012893677
-0.11438344419002533,-0.009672079235315323,-0.22798997163772583
0.02828916534781456,-0.009592127986252308,-0.1697351336479187
0.03967653587460518,-0.00998502317816019,-0.18495281040668488
